"pedigree","Total","Infected","DiseaseIncidence"
"HA412HO",35,24,0.685714285714286
"HA441",35,14,0.4
"HA466",43,9,0.209302325581395
"NSL15346",34,32,0.941176470588235
"PI386236",42,29,0.69047619047619
"PI431520",40,22,0.55
"PI432519",24,22,0.916666666666667
"PI468635",36,9,0.25
"PI476759",35,22,0.628571428571429
"PI496264",3,NA,NA
"PI497940",33,2,0.0606060606060606
"PI505653",39,33,0.846153846153846
"PI507900",32,30,0.9375
"PI507903",30,17,0.566666666666667
"PI507904",0,NA,NA
"PI507913",35,34,0.971428571428571
"PI507925",4,3,0.75
"PI511760",36,27,0.75
"PI526252",25,17,0.68
"PI526254",32,19,0.59375
"PI526257",38,37,0.973684210526316
"PI526258",34,15,0.441176470588235
"PI526260",36,14,0.388888888888889
"PI526261",37,36,0.972972972972973
"PI526263",34,28,0.823529411764706
"PI526267",34,22,0.647058823529412
"PI531341",37,18,0.486486486486487
"PI531343",36,15,0.416666666666667
"PI531355",40,16,0.4
"PI531356",35,23,0.657142857142857
"PI531357",37,30,0.810810810810811
"PI531360",35,15,0.428571428571429
"PI531361",32,2,0.0625
"PI531362",41,30,0.731707317073171
"PI531365",35,21,0.6
"PI531366",37,11,0.297297297297297
"PI531378",14,7,0.5
"PI531381",33,29,0.878787878787879
"PI531382",37,21,0.567567567567568
"PI531386",29,22,0.758620689655172
"PI531388",32,31,0.96875
"PI531502",32,16,0.5
"PI535888",31,16,0.516129032258065
"PI535892",40,30,0.75
"PI536628",38,28,0.736842105263158
"PI543006",29,1,0.0344827586206897
"PI596742",42,27,0.642857142857143
"PI596744",33,9,0.272727272727273
"PI600698",44,38,0.863636363636364
"PI600718",37,24,0.648648648648649
"PI600719",25,20,0.8
"PI600723",25,5,0.2
"PI600725",25,19,0.76
"PI600807",43,22,0.511627906976744
"PI600987",37,20,0.540540540540541
"PI650349",41,35,0.853658536585366
"PI650386",35,25,0.714285714285714
"PI650490",38,25,0.657894736842105
"PI650513",32,18,0.5625
"PI650515",34,11,0.323529411764706
"PI650525",25,17,0.68
"PI650541",37,25,0.675675675675676
"PI650542",33,4,0.121212121212121
"PI650653",28,15,0.535714285714286
"PI650687",33,28,0.848484848484849
"PI650690",34,26,0.764705882352941
"PI650723",34,32,0.941176470588235
"PI650736",35,21,0.6
"PI650756",41,12,0.292682926829268
"PI650757",17,5,0.294117647058824
"PI650758",38,4,0.105263157894737
"PI650760",30,11,0.366666666666667
"PI650776",35,12,0.342857142857143
"PI650778",29,5,0.172413793103448
"PI650780",24,17,0.708333333333333
"PI650786",31,3,0.0967741935483871
"PI650787",40,12,0.3
"PI650789",36,17,0.472222222222222
"PI650794",41,37,0.902439024390244
"PI650796",40,34,0.85
"PI650798",25,17,0.68
"PI650801",12,7,0.583333333333333
"PI650803",38,9,0.236842105263158
"PI650807",26,0,0
"PI650808",31,14,0.451612903225806
"PI650813",35,3,0.0857142857142857
"PI650814",42,13,0.30952380952381
"PI650818",37,22,0.594594594594595
"PI650822",34,20,0.588235294117647
"PI650824",31,24,0.774193548387097
"PI650825",36,31,0.861111111111111
"PI650829",31,31,1
"PI650836",27,13,0.481481481481481
"PI650837",39,9,0.230769230769231
"PI650839",45,44,0.977777777777778
